36       	2100     	20       5        	1000     5.026996e+01 		5.026996e+01 		5.026996e+01 		1.413454e-16 		2.826908e-16 		4.493361e+00 	4.858400e-02
37       	2100     	20       10       	1000     4.018784e+01 		4.018784e+01 		4.018784e+01 		1.768054e-16 		1.768054e-16 		7.352055e+00 	4.859400e-02
38       	2100     	20       15       	1000     2.770589e+01 		2.770589e+01 		2.770589e+01 		8.591379e-15 		2.564591e-16 		1.259915e+01 	4.862200e-02
39       	3100     	20       5        	858      6.129960e+01 		6.129960e+01 		6.129960e+01 		0.000000e+00 		1.159131e-16 		5.611871e+00 	1.578350e-01
40       	3100     	20       10       	1000     4.924574e+01 		4.924574e+01 		4.924574e+01 		1.444294e-13 		0.000000e+00 		1.051805e+01 	1.571230e-01
41       	3100     	20       15       	1000     3.422896e+01 		3.422894e+01 		3.422894e+01 		5.930150e-07 		4.151707e-16 		1.767018e+01 	1.571480e-01
42       	4100     	20       5        	706      7.066375e+01 		7.066375e+01 		7.066375e+01 		0.000000e+00 		0.000000e+00 		5.154749e+00 	2.497960e-01
43       	4100     	20       10       	1000     5.680768e+01 		5.680768e+01 		5.680768e+01 		9.010665e-13 		0.000000e+00 		1.309884e+01 	2.498210e-01
44       	4100     	20       15       	1000     3.939054e+01 		3.939054e+01 		3.939054e+01 		3.607682e-16 		5.411524e-16 		2.261098e+01 	2.498710e-01
45       	5100     	20       5        	677      7.914228e+01 		7.914228e+01 		7.914228e+01 		0.000000e+00 		1.795608e-16 		5.749795e+00 	3.901540e-01
46       	5100     	20       10       	938      6.377455e+01 		6.377455e+01 		6.377455e+01 		0.000000e+00 		2.228296e-16 		1.477606e+01 	3.901820e-01
47       	5100     	20       15       	1000     4.443856e+01 		4.443856e+01 		4.443856e+01 		8.124177e-13 		4.796798e-16 		2.740244e+01 	3.902190e-01
48       	6100     	20       5        	810      8.634315e+01 		8.634315e+01 		8.634315e+01 		0.000000e+00 		1.645858e-16 		7.984875e+00 	5.694540e-01
49       	6100     	20       10       	1000     6.961522e+01 		6.961522e+01 		6.961522e+01 		3.500903e-13 		0.000000e+00 		1.869133e+01 	5.695240e-01
50       	6100     	20       15       	1000     4.860405e+01 		4.860405e+01 		4.860405e+01 		4.626948e-10 		1.461900e-16 		3.276665e+01 	5.695540e-01
51       	7100     	20       5        	1000     9.322515e+01 		9.322515e+01 		9.322515e+01 		5.389827e-11 		1.524359e-16 		1.143480e+01 	8.002100e-01
52       	7100     	20       10       	1000     7.532824e+01 		7.532824e+01 		7.532824e+01 		1.309155e-08 		5.659573e-16 		2.173293e+01 	8.002670e-01
53       	7100     	20       15       	1000     5.268402e+01 		5.268402e+01 		5.268402e+01 		2.073042e-08 		5.394750e-16 		3.760494e+01 	8.003810e-01
54       	8100     	20       5        	1000     9.966998e+01 		9.966997e+01 		9.966997e+01 		5.906743e-09 		1.425791e-16 		1.301022e+01 	9.951820e-01
55       	8100     	20       10       	1000     8.043402e+01 		8.043402e+01 		8.043402e+01 		2.706903e-10 		0.000000e+00 		2.423067e+01 	9.953150e-01
56       	8100     	20       15       	1000     5.612170e+01 		5.612170e+01 		5.612170e+01 		6.836804e-15 		0.000000e+00 		4.264614e+01 	9.953740e-01
